anotador,total,solapados,unicos,aspecto,n
1,316.0,120.0,196.0,,
1,,,,limpieza,78.0
1,,,,seguridad,69.0
1,,,,atencion_servicio,62.0
1,,,,accesibilidad,34.0
1,,,,alojamiento,30.0
1,,,,aforo_multitudes,29.0
1,,,,costos,14.0
2,316.0,120.0,196.0,,
2,,,,limpieza,79.0
2,,,,seguridad,69.0
2,,,,atencion_servicio,63.0
2,,,,accesibilidad,33.0
2,,,,aforo_multitudes,30.0
2,,,,alojamiento,29.0
2,,,,costos,13.0
3,315.0,120.0,195.0,,
3,,,,limpieza,79.0
3,,,,seguridad,68.0
3,,,,atencion_servicio,63.0
3,,,,accesibilidad,33.0
3,,,,alojamiento,30.0
3,,,,aforo_multitudes,29.0
3,,,,costos,13.0
