review_uid,destination,language_review,aspecto,polaridad_objetivo,stars,calidad_senal,text_clean,input_modelo,label
gm_5a493f988df1675c,Centro Histórico de Lima,es,clima,negativo,5,alta,"Un domingo de setiembre, nublado y con alto porcentaje de humedad, fue el día elegido para visitar el casco histórico de esta hermosa ciudad. Recorrimos la plaza, visitamos la catedral y el palacio municipal. Cerca de las 11 hs, nos sorprendió el cambio de guardia del Palacio de gobierno. Una banda del ejército, montados a caballo, fue la encargada de agregar ritmo, color y sonido al evento. Ellos abrieron y cerraron el evento del cambio de guardia. Vivimos un Hermoso momento en un hermoso lugar.","aspecto: clima reseña: Un domingo de setiembre, nublado y con alto porcentaje de humedad, fue el día elegido para visitar el casco histórico de esta hermosa ciudad. Recorrimos la plaza, visitamos la catedral y el palacio municipal. Cerca de las 11 hs, nos sorprendió el cambio de guardia del Palacio de gobierno. Una banda del ejército, montados a caballo, fue la encargada de agregar ritmo, color y sonido al evento. Ellos abrieron y cerraron el evento del cambio de guardia. Vivimos un Hermoso momento en un hermoso lugar.",
gm_065eb2be1ac7dd19,Circuito Mágico del Agua,es,clima,negativo,3,alta,"El lugar es amplio y bonito pero hay muchas zonas recortadas. El espectáculo de agua empieza alrededor de las 7:30 pm y es bonito y agradable. Hace frio en las noches asi que es recomendable llevar casaca. De los puestos de comida, hay uno que venden barquillos de hotdog al estilo Koreano y te estafan porque no hay ni medio hotdog dentro del barquillo que te dan, a tener en consideración eso. Hay zonas verdes para poder descansar y estar con los pequeños y muchos juegos. Bastante estacionamiento pero es caro.","aspecto: clima reseña: El lugar es amplio y bonito pero hay muchas zonas recortadas. El espectáculo de agua empieza alrededor de las 7:30 pm y es bonito y agradable. Hace frio en las noches asi que es recomendable llevar casaca. De los puestos de comida, hay uno que venden barquillos de hotdog al estilo Koreano y te estafan porque no hay ni medio hotdog dentro del barquillo que te dan, a tener en consideración eso. Hay zonas verdes para poder descansar y estar con los pequeños y muchos juegos. Bastante estacionamiento pero es caro.",
gm_52109a686d4dc89b,Ciudadela de Kuélap,es,clima,negativo,5,alta,"Si vas en movilidad particular, para descanso y visitar Kuelap pueden quedarse en Nuevo Tingo hay hoteles, hospedajes y restaurantes, las oficinas y embarque para las telecabinas esta a cinco cuadras o 500 metros aproximadamente del centro de la ciudad. Previo al ingreso a la ciudadela de Kuelap encuentran señoras de la zona que venden bebidas, alimentos que te servirán para el recorrido, en la ciudadelas Kuelap existen recipientes para la basura. Llevar ropa para protegerse de la lluvia que se presenta inesperadamente. Ahora a disfrutar Kuelap. Precios ticket para telecabinas 20 soles por persona, adultos niños, ticket para ingreso a ciudadelas Kuelap 20 adultos, 10 universitario, 2 escolares (soles).","aspecto: clima reseña: Si vas en movilidad particular, para descanso y visitar Kuelap pueden quedarse en Nuevo Tingo hay hoteles, hospedajes y restaurantes, las oficinas y embarque para las telecabinas esta a cinco cuadras o 500 metros aproximadamente del centro de la ciudad. Previo al ingreso a la ciudadela de Kuelap encuentran señoras de la zona que venden bebidas, alimentos que te servirán para el recorrido, en la ciudadelas Kuelap existen recipientes para la basura. Llevar ropa para protegerse de la lluvia que se presenta inesperadamente. Ahora a disfrutar Kuelap. Precios ticket para telecabinas 20 soles por persona, adultos niños, ticket para ingreso a ciudadelas Kuelap 20 adultos, 10 universitario, 2 escolares (soles).",
gm_11ef492fe9a3ae5b,Líneas y Geoglifos de Nasca y Palpa,en,clima,negativo,5,media,We took a flight with AeroNazca and was very impressed. We got picked up from our hostel and dropped back after the flight. We were advised to take an early flight as the weather is generally worst/windy in the afternoon and this was good advice as the wind did indeed pick up in the afternoon..,aspecto: clima reseña: We took a flight with AeroNazca and was very impressed. We got picked up from our hostel and dropped back after the flight. We were advised to take an early flight as the weather is generally worst/windy in the afternoon and this was good advice as the wind did indeed pick up in the afternoon..,
gm_892b29533d734d3d,Monasterio de Santa Catalina,es,clima,negativo,5,media,"Una experiencia muy bonita en familia, fuimos un domingo y no había mucha gente lo cual fue maravilloso. El clima nublado ayudó bastante también.","aspecto: clima reseña: Una experiencia muy bonita en familia, fuimos un domingo y no había mucha gente lo cual fue maravilloso. El clima nublado ayudó bastante también.",
gm_f7c5d832733b0730,Museo Tumbas Reales del Señor de Sipán,es,clima,negativo,4,alta,Muy bello lugar. Los guías muy atentos. Podría mejorar el sistema de aire acondicionado ya que en verano el calor de Lambayeque es sofocante.,aspecto: clima reseña: Muy bello lugar. Los guías muy atentos. Podría mejorar el sistema de aire acondicionado ya que en verano el calor de Lambayeque es sofocante.,
gm_7b5c16c7c50b80aa,Museo de Sitio Huaca Pucllana,es,clima,negativo,5,alta,"Un lugar impresionante, un guía nos explicó durante el camino la historia del lugar. A pesar de estar nublado el calor era sofocante, sugiero llevar sombrero, bloqueador y una botella con agua, zapatos cómodos, y ropa holgada.","aspecto: clima reseña: Un lugar impresionante, un guía nos explicó durante el camino la historia del lugar. A pesar de estar nublado el calor era sofocante, sugiero llevar sombrero, bloqueador y una botella con agua, zapatos cómodos, y ropa holgada.",
gm_682f727a124d01d0,Reserva Nacional de Paracas,es,clima,negativo,5,alta,"Playa Limpia. Arena blanca. Agua no tan fría. Sin embargo cuando yo fui, había mucho viento, lo cual hizo que sintiera mucho frío. Pero altamente recomendable.","aspecto: clima reseña: Playa Limpia. Arena blanca. Agua no tan fría. Sin embargo cuando yo fui, había mucho viento, lo cual hizo que sintiera mucho frío. Pero altamente recomendable.",
gm_aefdbc7021128d5e,Santuario Histórico de Machu Picchu,en,clima,negativo,5,alta,"Machu Picchu is best visited during the dry season (May to October), especially from June to August. The weather is dry and sunny during this period, which is very suitable for hiking and taking photos. The rainy season (November to April) is often cloudy and rainy, which may affect hiking and sightseeing. The weather in the mountains changes quickly, and sometimes heavy rain may cause traffic disruptions, thus affecting your trip.﻿ Best time of day: Locals recommend (7-10am or 3- 5pm) to avoid peak traffic hours to better visit Machu Picchu.﻿ Highly recommended to book the Machu Picchu entrance ticket, also the bus tickets to and from Machu Picchu (except hiking) in advance to ensure that you arrive at the best time and avoid queuing.﻿ Recommended to hiring a tour guide, so that you can better understand the history. There are many tour guides at the entrance of Machu Picchu, providing multiple language services, you can bargain at the entrance at the last minute.","aspecto: clima reseña: Machu Picchu is best visited during the dry season (May to October), especially from June to August. The weather is dry and sunny during this period, which is very suitable for hiking and taking photos. The rainy season (November to April) is often cloudy and rainy, which may affect hiking and sightseeing. The weather in the mountains changes quickly, and sometimes heavy rain may cause traffic disruptions, thus affecting your trip.﻿ Best time of day: Locals recommend (7-10am or 3- 5pm) to avoid peak traffic hours to better visit Machu Picchu.﻿ Highly recommended to book the Machu Picchu entrance ticket, also the bus tickets to and from Machu Picchu (except hiking) in advance to ensure that you arrive at the best time and avoid queuing.﻿ Recommended to hiring a tour guide, so that you can better understand the history. There are many tour guides at the entrance of Machu Picchu, providing multiple language services, you can bargain at the entrance at the last minute.",
gm_18ee7275dd6dfb22,Valle del Colca,en,clima,negativo,5,alta,"6-7 hour bus ride from Arequipa (terminal terrestre, Arturo Ibanez 130) to Cabanaconde. Route over highlands, vicuna reserve, down to Chivay in canyon, then down canyon, (best views from right side of bus). 9:30 AM Arequipa departure (Andelusia) and nights in Cabanaconde before and after self guided trek, seemed better than 3:00 AM Arequipa departure, short last trek day and back to Arequipa of tours. Many places to stay, I was at Pachamama hostel about 2 blocks up from the plaza on San Pedro St. Good information about trek options and good place to meet others doing unguided treks. I did 2d/1n trek, 1st day to Llahuar with scenic descent along canyon edge, then down into side canyon, final descent to Colca river crossing, climb into Taruna, back down to Llahuar on the Colca river just after crossing the Huaruro river. Nice bungalows on river, friendly staff, fixed menu dinner, breakfast and sandwichs available, all at very reasonable prices. Natural hot pools and swimming pool right on river not open because river very high in early March. Very ambitious new ""restaurant"" construction ongoing. As hike to Llahuar mostly down and not too long, I was there well before noon. Could just chill in nice location. I opted for day hike up Huaruro canyon that starts steeply right from Llahuar then more gradually up to Llatica where a bridge crosses the river. From there another steep climb to high trail that contours back down other side of canyon to above Belen. Nice safe and scenic canyon trails. Down main street in Belen past soccer field to steep trail to Paclla. Cross road and continue on trail down through terraced gardens that eventually goes to Taruna above Llahuar. This added another 11 km and 700m vertical, about 4 hours at a fast pace, to first day. 2nd day back up to Belen, options are trail short cuts to Paclla not too steep, then very steep to Belen, or longer but more gradually walk on road. From Belen you are on road up to viewpoint bend then level to shortcut trail down to plateau, join main trail down to Sangalle (relatively touristy and expensive, but amazing given that everything has to come in by horse or burro). That just leaves the 2.5 - 3.5 hour all uphill switchbacks to plateau and final km to Cabanaconde. Total for 2nd day a healthy 16-18km with 1700m elevation gain. If I was doing it again, would spend 2 nights in canyon, 1st at Llahuar, then 2nd up at Fure with day hike up to the waterfall (cataratas), day 3 high trail back from Fure contouring back to join road at high point above Sangalle, then through Sangalle up and out. Another interesting high altitude strenuous option might be continuing up from Fure to Tocallo at 3800m where some maps show a trail that goes in and out of several canyons with final pass then long descent to Malata above Sangalle. Another night in canyon and some local information about condition of trails would be needed. Canyon country was unique, scenic and very green with lots of water in the rainy season. Lodging and meals in many areas down in canyon allows for very light packs, a plus given all the climbs. No reservations needed for anything during rainy season, probably a different story in high season. A minibus service that goes on the not too scary dirt road from Carbanaconde, crossing the Rio Colca at the same place my trek did has beautiful brand new rain sheltered stops at all the little towns all the way to Tapay! This allows some less strenuous options for the canyon that are sure to become more popular.","aspecto: clima reseña: 6-7 hour bus ride from Arequipa (terminal terrestre, Arturo Ibanez 130) to Cabanaconde. Route over highlands, vicuna reserve, down to Chivay in canyon, then down canyon, (best views from right side of bus). 9:30 AM Arequipa departure (Andelusia) and nights in Cabanaconde before and after self guided trek, seemed better than 3:00 AM Arequipa departure, short last trek day and back to Arequipa of tours. Many places to stay, I was at Pachamama hostel about 2 blocks up from the plaza on San Pedro St. Good information about trek options and good place to meet others doing unguided treks. I did 2d/1n trek, 1st day to Llahuar with scenic descent along canyon edge, then down into side canyon, final descent to Colca river crossing, climb into Taruna, back down to Llahuar on the Colca river just after crossing the Huaruro river. Nice bungalows on river, friendly staff, fixed menu dinner, breakfast and sandwichs available, all at very reasonable prices. Natural hot pools and swimming pool right on river not open because river very high in early March. Very ambitious new ""restaurant"" construction ongoing. As hike to Llahuar mostly down and not too long, I was there well before noon. Could just chill in nice location. I opted for day hike up Huaruro canyon that starts steeply right from Llahuar then more gradually up to Llatica where a bridge crosses the river. From there another steep climb to high trail that contours back down other side of canyon to above Belen. Nice safe and scenic canyon trails. Down main street in Belen past soccer field to steep trail to Paclla. Cross road and continue on trail down through terraced gardens that eventually goes to Taruna above Llahuar. This added another 11 km and 700m vertical, about 4 hours at a fast pace, to first day. 2nd day back up to Belen, options are trail short cuts to Paclla not too steep, then very steep to Belen, or longer but more gradually walk on road. From Belen you are on road up to viewpoint bend then level to shortcut trail down to plateau, join main trail down to Sangalle (relatively touristy and expensive, but amazing given that everything has to come in by horse or burro). That just leaves the 2.5 - 3.5 hour all uphill switchbacks to plateau and final km to Cabanaconde. Total for 2nd day a healthy 16-18km with 1700m elevation gain. If I was doing it again, would spend 2 nights in canyon, 1st at Llahuar, then 2nd up at Fure with day hike up to the waterfall (cataratas), day 3 high trail back from Fure contouring back to join road at high point above Sangalle, then through Sangalle up and out. Another interesting high altitude strenuous option might be continuing up from Fure to Tocallo at 3800m where some maps show a trail that goes in and out of several canyons with final pass then long descent to Malata above Sangalle. Another night in canyon and some local information about condition of trails would be needed. Canyon country was unique, scenic and very green with lots of water in the rainy season. Lodging and meals in many areas down in canyon allows for very light packs, a plus given all the climbs. No reservations needed for anything during rainy season, probably a different story in high season. A minibus service that goes on the not too scary dirt road from Carbanaconde, crossing the Rio Colca at the same place my trek did has beautiful brand new rain sheltered stops at all the little towns all the way to Tapay! This allows some less strenuous options for the canyon that are sure to become more popular.",
