review_uid,destination,language_review,aspecto,stars,sentiment_by_stars,n_cues_neg,cues_neg,calidad_senal,text_clean,input_modelo,sugerencia_heuristica,label
gm_6d4c61f9e42a067a,Centro Histórico de Lima,es,costos,4,positivo,3,cobran;cuidado;no recomiendo,alta,"Es una plaza bonita, amplia pero le falta más zonas verdes, está rodeada por la Casa de Gobierno, el Arzobispado, la Catedral, Municipalidad de Lima y negocios todos hermosas edificaciones antiguas y bien cuidadas, lamentablemente no se puede apreciar hacia más de un año que casi se ma tiene cerrada la policía no deja que entren según dice que por seguridad y eso impide el turismo y los negocios cercanos de artesanías sufren las consecuencias. Hay un caballo con una carreta que pasean al rededor no se cuánto cobran, cerca está la Iglesia de San Francisco donde se puede hacer un recorrido pagado por las catacumbas, también está cerca la Alameda Chabuca Granda un lugar que fue rescatado de la delincuencia, ahora encuentras bastantes carritos de venta de comida y postres típicos muy ricos y de precio cómodos también puedes ver grupos de música, baile y si es de tu gusto los cómicos ambulantes. Hay vigilancia pero de todas maneras hay que tener cuidado muy visitado por turistas en un solo lugar encuentras gran variedad de la gastronomía peruana sobre todo limeña. No recomiendo ir fin de semana hay muchísima gente.","aspecto: costos reseña: Es una plaza bonita, amplia pero le falta más zonas verdes, está rodeada por la Casa de Gobierno, el Arzobispado, la Catedral, Municipalidad de Lima y negocios todos hermosas edificaciones antiguas y bien cuidadas, lamentablemente no se puede apreciar hacia más de un año que casi se ma tiene cerrada la policía no deja que entren según dice que por seguridad y eso impide el turismo y los negocios cercanos de artesanías sufren las consecuencias. Hay un caballo con una carreta que pasean al rededor no se cuánto cobran, cerca está la Iglesia de San Francisco donde se puede hacer un recorrido pagado por las catacumbas, también está cerca la Alameda Chabuca Granda un lugar que fue rescatado de la delincuencia, ahora encuentras bastantes carritos de venta de comida y postres típicos muy ricos y de precio cómodos también puedes ver grupos de música, baile y si es de tu gusto los cómicos ambulantes. Hay vigilancia pero de todas maneras hay que tener cuidado muy visitado por turistas en un solo lugar encuentras gran variedad de la gastronomía peruana sobre todo limeña. No recomiendo ir fin de semana hay muchísima gente.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_a9a2dbed889be0dc,Circuito Mágico del Agua,es,costos,1,negativo,4,cobran;lleno;pesima;pesimo,alta,"Pésimo, regreso después de 3 años y cobran el baño...no solo 1 sol..1.50 además antes la entrada de 5 soles te dejaba entrar hacia la la otra parte del parque pasando el puente..ahora han puesto otra boletera dentro del mismo parque a 5 soles sin excepción para ver la mitad del parque un abuso total.. esta lleno de juegos y comida...ya no se puede estar tranquilos aquí...que pésima administración de la Municipalidad Metropolitana de Lima","aspecto: costos reseña: Pésimo, regreso después de 3 años y cobran el baño...no solo 1 sol..1.50 además antes la entrada de 5 soles te dejaba entrar hacia la la otra parte del parque pasando el puente..ahora han puesto otra boletera dentro del mismo parque a 5 soles sin excepción para ver la mitad del parque un abuso total.. esta lleno de juegos y comida...ya no se puede estar tranquilos aquí...que pésima administración de la Municipalidad Metropolitana de Lima",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_039d0315e8dc5753,Ciudadela de Kuélap,en,costos,4,positivo,2,crowded;overcrowded,alta,"Quite stunning site, although heavily overcrowded on the weekends - go mid week if possible. The walk is fairly easy. Some areas (like the main entrance) are being repaired as of August 2018.","aspecto: costos reseña: Quite stunning site, although heavily overcrowded on the weekends - go mid week if possible. The walk is fairly easy. Some areas (like the main entrance) are being repaired as of August 2018.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_4aab2b2f240dc380,Líneas y Geoglifos de Nasca y Palpa,en,costos,5,positivo,1,expensive,media,"If you can get the plane to see the Nazca Lines, its the only way to see them properly. It's not so expensive and you get to the planes when is full, max 5 pass. It's worth the experience, beside the lines there's nothing to do in Nazca town.","aspecto: costos reseña: If you can get the plane to see the Nazca Lines, its the only way to see them properly. It's not so expensive and you get to the planes when is full, max 5 pass. It's worth the experience, beside the lines there's nothing to do in Nazca town.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_237a02897c774a62,Monasterio de Santa Catalina,es,costos,5,positivo,3,cobran;cuidado;lleno,alta,"Un dato que cale 100% la pena: Recomiendo NO tomar el tour guiado para recorrer y fotografiar con más calma. Vale la pena hacerlo por tu cuenta descargando la aplicación y haciendo el recorrido con la app. Además por ser extranjero te cobran extra por el tour guiado (Una discriminación que no comparto) Así que si quieres disfrutar realmente el lugar, hacer tus reel para tus redes sociales y tomar fotografías con toda calma, hazlo por tu cuenta, es sencillo y encuentras información en cada lugar. Por lo demás, el lugar está muy bien cuidado, limpio y lleno de historia.","aspecto: costos reseña: Un dato que cale 100% la pena: Recomiendo NO tomar el tour guiado para recorrer y fotografiar con más calma. Vale la pena hacerlo por tu cuenta descargando la aplicación y haciendo el recorrido con la app. Además por ser extranjero te cobran extra por el tour guiado (Una discriminación que no comparto) Así que si quieres disfrutar realmente el lugar, hacer tus reel para tus redes sociales y tomar fotografías con toda calma, hazlo por tu cuenta, es sencillo y encuentras información en cada lugar. Por lo demás, el lugar está muy bien cuidado, limpio y lleno de historia.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_5ba6bc1dabc36bfa,Museo Tumbas Reales del Señor de Sipán,es,costos,5,positivo,3,caro;cuidado;no recomiendo,alta,"1. Tres pisos de pura historia. Los precios van desde los 3 a 10 soles por persona. La entrada no incluye el guiado. 2. Si deseas adquirir el servicio de guía, lo puedes negociar al inicio del recorrido en el 3er nivel. El costo aproximado por grupo mediando es de 50 soles. Negociable. 3. Si no recuerdas nada de la historia peruana, es mejor contratar el servicio de guiado. Ya que entrar para solo ver y leer las pequeñas descripciones, no es lo mismo. 4. Si estas en el horario de almuerzo, los guías tienen las mejores recomendaciones dependiendo de tus gustos, solo es question de preguntar. 5. El 98% de lo expuesto es original. Pocas réplicas. Absolutamente impactante. 6. Estacionamiento dentro de las instalaciones. 7. Tener cuidado a las afueras, los comerciantes de artesanías (recuerditos) son algo insistentes. No generan mucha confianza. 8. Al finalizar el tour hay una mini feria de artesanos, donde son más tranquilos y no hay presión de comprar o no. Mejor experiencia que con los vendedores de afuera. Y los precios son justos a mi parecer. Nada caros y muy accesibles. No recomiendo regatear ya que son hechos a mano.","aspecto: costos reseña: 1. Tres pisos de pura historia. Los precios van desde los 3 a 10 soles por persona. La entrada no incluye el guiado. 2. Si deseas adquirir el servicio de guía, lo puedes negociar al inicio del recorrido en el 3er nivel. El costo aproximado por grupo mediando es de 50 soles. Negociable. 3. Si no recuerdas nada de la historia peruana, es mejor contratar el servicio de guiado. Ya que entrar para solo ver y leer las pequeñas descripciones, no es lo mismo. 4. Si estas en el horario de almuerzo, los guías tienen las mejores recomendaciones dependiendo de tus gustos, solo es question de preguntar. 5. El 98% de lo expuesto es original. Pocas réplicas. Absolutamente impactante. 6. Estacionamiento dentro de las instalaciones. 7. Tener cuidado a las afueras, los comerciantes de artesanías (recuerditos) son algo insistentes. No generan mucha confianza. 8. Al finalizar el tour hay una mini feria de artesanos, donde son más tranquilos y no hay presión de comprar o no. Mejor experiencia que con los vendedores de afuera. Y los precios son justos a mi parecer. Nada caros y muy accesibles. No recomiendo regatear ya que son hechos a mano.",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_40c83b090ea2b667,Museo de Sitio Huaca Pucllana,en,costos,5,positivo,2,closed;expensive,alta,"The tour lasts approximately 1.5 hours with a tour guide who will explain the history of the site and the people who inhabited in it to the group. Our guide was very attentive and answered any and all questions we threw her way. I certainly recommend this tour for anyone staying a couple of days in Lima. Entrance is inexpensive (less than $20 soles from what I remember, and kids & elderly have steep discounts). You must make reservations in the website and pay via cash or card at the site. Take comfortable and closed-toe shoes and a mask. *yes, there are Llamas and Alpacas but you cannot touch them *","aspecto: costos reseña: The tour lasts approximately 1.5 hours with a tour guide who will explain the history of the site and the people who inhabited in it to the group. Our guide was very attentive and answered any and all questions we threw her way. I certainly recommend this tour for anyone staying a couple of days in Lima. Entrance is inexpensive (less than $20 soles from what I remember, and kids & elderly have steep discounts). You must make reservations in the website and pay via cash or card at the site. Take comfortable and closed-toe shoes and a mask. *yes, there are Llamas and Alpacas but you cannot touch them *",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_40aa0348915d3eae,Reserva Nacional de Paracas,es,costos,3,neutro,2,basura;cobran,alta,Muy buena playa. Todo muy tranquilo muy limpio . hay contenedores de basura . El único inconveniente es el servicio higiénico arriba ... Te cobran 2 soles !! Por usar el servicio no hay agua en los servicios higiénicos. No hay cambiadores. Nada y aún así te cobran 2 soles no es mucho pero me parece exceso cuando ya pagaste 10.00 soles para ingresar a la reserva de paracas. Y por persona.. Nosotros eramos 22 personas,aspecto: costos reseña: Muy buena playa. Todo muy tranquilo muy limpio . hay contenedores de basura . El único inconveniente es el servicio higiénico arriba ... Te cobran 2 soles !! Por usar el servicio no hay agua en los servicios higiénicos. No hay cambiadores. Nada y aún así te cobran 2 soles no es mucho pero me parece exceso cuando ya pagaste 10.00 soles para ingresar a la reserva de paracas. Y por persona.. Nosotros eramos 22 personas,negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_48fe4b8a354f5f6c,Santuario Histórico de Machu Picchu,es,costos,5,positivo,5,colas;cuidado;evitar;terrible,alta,"Increíble lugar, aunque sea una vez en la vida debemos visitar! Para visitar MP, sacar las entradas con varios días de anticipación, ahora se hace todo desde la web de Machu Picchu, se puede pagar con tarjeta o en las oficinas que están cerca de la plaza Regocijo. Atención con el horario, porque solo se puede entrar en el horario especifico. Aun así, si te toca el último turno y no te conviene, puedes entrar hasta las 7:25 am siempre y cuando vayas con un guía. El guía cobra 20 soles por persona o 100 por un grupo familiar. Ya estando allí, habrá varios guardianes que verán que no se saquen el tapabocas en ningún momento. Lo niños tienen más tolerancia en ese aspecto. Está todo muy bien cuidado y señalizado. El detalle que malogra todo el paseo es el tren local, que como turistas nacionales tenemos la opción de tomar . Sin embargo, la tensión por conseguir un boleto es terrible, no debería ser así ya que al final todos viajan, la caseta de serenazgo te da un turno y con eso deberías evitar colas. Hay mucha especulación y también eso da pie para que algunos taxistas te quieran llevar a otras estaciones tratando de sacar ventaja e incluso engañar a los turistas. Tengan cuidado con eso. Fuera de eso, todo excelente 👍","aspecto: costos reseña: Increíble lugar, aunque sea una vez en la vida debemos visitar! Para visitar MP, sacar las entradas con varios días de anticipación, ahora se hace todo desde la web de Machu Picchu, se puede pagar con tarjeta o en las oficinas que están cerca de la plaza Regocijo. Atención con el horario, porque solo se puede entrar en el horario especifico. Aun así, si te toca el último turno y no te conviene, puedes entrar hasta las 7:25 am siempre y cuando vayas con un guía. El guía cobra 20 soles por persona o 100 por un grupo familiar. Ya estando allí, habrá varios guardianes que verán que no se saquen el tapabocas en ningún momento. Lo niños tienen más tolerancia en ese aspecto. Está todo muy bien cuidado y señalizado. El detalle que malogra todo el paseo es el tren local, que como turistas nacionales tenemos la opción de tomar . Sin embargo, la tensión por conseguir un boleto es terrible, no debería ser así ya que al final todos viajan, la caseta de serenazgo te da un turno y con eso deberías evitar colas. Hay mucha especulación y también eso da pie para que algunos taxistas te quieran llevar a otras estaciones tratando de sacar ventaja e incluso engañar a los turistas. Tengan cuidado con eso. Fuera de eso, todo excelente 👍",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
gm_4ce1d8ed14a15f29,Valle del Colca,en,costos,5,positivo,2,avoid;expensive,alta,"The canyon is amazing. It took us 2.5 hours to get from mirador de San Miguel to San Juan de Chuccho, another 35 minutes to Coshnirhua, 15 minutes to Malata and an hour to Sangalle. We are fit and walk quite fast. Signs are missing in some points or aren't clear. Google Maps shows the route correctly with some exceptions (once or twice there welas a shorter way). I planned to take a shortcut to Sangalle and skip Coshnirhua and Malata. However, when I was in the only place the way supposed to split up (and Google Maps confirmed it) I took unsigned road and after 15 minutes I got to some farmers houses. One of them told me I need to go back so I don't know how to find a shortcut. The next day we went from Sangalle back to Cabanaconde. It took us 2 hours till the mirador, all the way up, and another 20 minutes to Cabanaconde. The trial isn't long but quite demanding. I recommend to start early to avoid walking in sun. Remember that admission fee is 70 soles for tourist from out of Latin America, 40 soles if you're from Latin America and there are some discount for students and Peruvians. There are some check points so don't throw away. Trasandino goes from Arequipa to Chivay (9am, 11.45am & 10.30pm) from where you need another bus or taxi collectivo and Andalucía goes directly to Cabanaconde (6.30am, 9.30am, 1.30pm & 10pm; 25 soles). Agencies like Perou Voyage also offer a transport - more expensive but from your accommodation to Cabanaconde with few stops. From around bus terminal different taxi collectivo depart when full, a bit more expensive than a bus, less comfortable but faster. There's only one direct bus from Cabanaconde to Puno at 9am (Nativa Trips, 180 soles). Later you need to get to Chivay (Trasandino, Andalucía or taxi collectivo) from where also only Nativa Trips departs to Puno (1.15pm, 130 soles, stops at few viewpoints on the way). Agencies offer transport to Puno as a full day trip with a lunch (not included) and a few stops on the way. The prices starts from $45-50. If you need to store a luggage in Cabanaconde you can do that in Pachamama Home (10 soles per bag per day).","aspecto: costos reseña: The canyon is amazing. It took us 2.5 hours to get from mirador de San Miguel to San Juan de Chuccho, another 35 minutes to Coshnirhua, 15 minutes to Malata and an hour to Sangalle. We are fit and walk quite fast. Signs are missing in some points or aren't clear. Google Maps shows the route correctly with some exceptions (once or twice there welas a shorter way). I planned to take a shortcut to Sangalle and skip Coshnirhua and Malata. However, when I was in the only place the way supposed to split up (and Google Maps confirmed it) I took unsigned road and after 15 minutes I got to some farmers houses. One of them told me I need to go back so I don't know how to find a shortcut. The next day we went from Sangalle back to Cabanaconde. It took us 2 hours till the mirador, all the way up, and another 20 minutes to Cabanaconde. The trial isn't long but quite demanding. I recommend to start early to avoid walking in sun. Remember that admission fee is 70 soles for tourist from out of Latin America, 40 soles if you're from Latin America and there are some discount for students and Peruvians. There are some check points so don't throw away. Trasandino goes from Arequipa to Chivay (9am, 11.45am & 10.30pm) from where you need another bus or taxi collectivo and Andalucía goes directly to Cabanaconde (6.30am, 9.30am, 1.30pm & 10pm; 25 soles). Agencies like Perou Voyage also offer a transport - more expensive but from your accommodation to Cabanaconde with few stops. From around bus terminal different taxi collectivo depart when full, a bit more expensive than a bus, less comfortable but faster. There's only one direct bus from Cabanaconde to Puno at 9am (Nativa Trips, 180 soles). Later you need to get to Chivay (Trasandino, Andalucía or taxi collectivo) from where also only Nativa Trips departs to Puno (1.15pm, 130 soles, stops at few viewpoints on the way). Agencies offer transport to Puno as a full day trip with a lunch (not included) and a few stops on the way. The prices starts from $45-50. If you need to store a luggage in Cabanaconde you can do that in Pachamama Home (10 soles per bag per day).",negativo (heurística por estrellas 1-2; REQUIERE verificación humana),
