annotation_id,review_uid,destination,language_review,aspecto,text_clean,input_modelo,label,origen
gm_e9e965e3923ca842__atractivos,gm_e9e965e3923ca842,Centro Histórico de Lima,en,atractivos,"The main center of power in Peru but also a historical place where many things have happened, it's a beautiful sight","aspecto: atractivos reseña: The main center of power in Peru but also a historical place where many things have happened, it's a beautiful sight",positivo,consenso_v2
gm_f8a6c506087755b5__atractivos,gm_f8a6c506087755b5,Líneas y Geoglifos de Nasca y Palpa,es,atractivos,Hermoso lugar que puedes visitar y disfrutar desde una avioneta o si buscas algo más cómodo desde el mirador.,aspecto: atractivos reseña: Hermoso lugar que puedes visitar y disfrutar desde una avioneta o si buscas algo más cómodo desde el mirador.,positivo,consenso_v2
gm_f8a6c506087755b5__accesibilidad,gm_f8a6c506087755b5,Líneas y Geoglifos de Nasca y Palpa,es,accesibilidad,Hermoso lugar que puedes visitar y disfrutar desde una avioneta o si buscas algo más cómodo desde el mirador.,aspecto: accesibilidad reseña: Hermoso lugar que puedes visitar y disfrutar desde una avioneta o si buscas algo más cómodo desde el mirador.,positivo,consenso_v2
gm_8b4151f25f673736__atractivos,gm_8b4151f25f673736,Museo Tumbas Reales del Señor de Sipán,en,atractivos,Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,aspecto: atractivos reseña: Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,positivo,consenso_v2
gm_8b4151f25f673736__costos,gm_8b4151f25f673736,Museo Tumbas Reales del Señor de Sipán,en,costos,Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,aspecto: costos reseña: Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,neutro,consenso_v2
gm_8b4151f25f673736__atencion_servicio,gm_8b4151f25f673736,Museo Tumbas Reales del Señor de Sipán,en,atencion_servicio,Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,aspecto: atencion_servicio reseña: Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,negativo,consenso_v2
gm_9dd5f3d689c1534d__atractivos,gm_9dd5f3d689c1534d,Santuario Histórico de Machu Picchu,es,atractivos,"Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️","aspecto: atractivos reseña: Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️",positivo,consenso_v2
gm_9dd5f3d689c1534d__costos,gm_9dd5f3d689c1534d,Santuario Histórico de Machu Picchu,es,costos,"Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️","aspecto: costos reseña: Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️",positivo,consenso_v2
gm_9dd5f3d689c1534d__accesibilidad,gm_9dd5f3d689c1534d,Santuario Histórico de Machu Picchu,es,accesibilidad,"Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️","aspecto: accesibilidad reseña: Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️",negativo,consenso_v2
gm_60494547661abde5__atractivos,gm_60494547661abde5,Reserva Nacional de Paracas,es,atractivos,"La playa bonita limpia zona mar, rompientes, mas control en la zona de sombrilla y camping, muy pocos son capaces de dejar limpio el espacio, para que puedan usarlo, control a las personas con exesos de licor en la noche, perturban la tranquilidad de otras personas, si no toman medidas, se. Convertirá en otro agua dulce!!.","aspecto: atractivos reseña: La playa bonita limpia zona mar, rompientes, mas control en la zona de sombrilla y camping, muy pocos son capaces de dejar limpio el espacio, para que puedan usarlo, control a las personas con exesos de licor en la noche, perturban la tranquilidad de otras personas, si no toman medidas, se. Convertirá en otro agua dulce!!.",positivo,consenso_v2
gm_60494547661abde5__limpieza,gm_60494547661abde5,Reserva Nacional de Paracas,es,limpieza,"La playa bonita limpia zona mar, rompientes, mas control en la zona de sombrilla y camping, muy pocos son capaces de dejar limpio el espacio, para que puedan usarlo, control a las personas con exesos de licor en la noche, perturban la tranquilidad de otras personas, si no toman medidas, se. Convertirá en otro agua dulce!!.","aspecto: limpieza reseña: La playa bonita limpia zona mar, rompientes, mas control en la zona de sombrilla y camping, muy pocos son capaces de dejar limpio el espacio, para que puedan usarlo, control a las personas con exesos de licor en la noche, perturban la tranquilidad de otras personas, si no toman medidas, se. Convertirá en otro agua dulce!!.",positivo,consenso_v2
gm_79cc26cd7826db74__atractivos,gm_79cc26cd7826db74,Museo de Sitio Huaca Pucllana,es,atractivos,"Vale la pena pagar la entrada. El circuito es muy ordenado, siempre con guía, español o ingles, solo hay que esperar. Tiene un pequeño museo, tiene un huerto con algunas plantas típicas del Perú. También hay tiendas de recuerdos, pero también los puedes encontrar en los mercados incas. La guía muy amable y sabía bastante, hasta la llama se le acerco a preguntar. El recorrido es cerca de una hora. Recomendado si visitas Lima. También cuenta con un restaurante, pero yo solo visite la huaca. ^^""","aspecto: atractivos reseña: Vale la pena pagar la entrada. El circuito es muy ordenado, siempre con guía, español o ingles, solo hay que esperar. Tiene un pequeño museo, tiene un huerto con algunas plantas típicas del Perú. También hay tiendas de recuerdos, pero también los puedes encontrar en los mercados incas. La guía muy amable y sabía bastante, hasta la llama se le acerco a preguntar. El recorrido es cerca de una hora. Recomendado si visitas Lima. También cuenta con un restaurante, pero yo solo visite la huaca. ^^""",positivo,consenso_v2
gm_79cc26cd7826db74__costos,gm_79cc26cd7826db74,Museo de Sitio Huaca Pucllana,es,costos,"Vale la pena pagar la entrada. El circuito es muy ordenado, siempre con guía, español o ingles, solo hay que esperar. Tiene un pequeño museo, tiene un huerto con algunas plantas típicas del Perú. También hay tiendas de recuerdos, pero también los puedes encontrar en los mercados incas. La guía muy amable y sabía bastante, hasta la llama se le acerco a preguntar. El recorrido es cerca de una hora. Recomendado si visitas Lima. También cuenta con un restaurante, pero yo solo visite la huaca. ^^""","aspecto: costos reseña: Vale la pena pagar la entrada. El circuito es muy ordenado, siempre con guía, español o ingles, solo hay que esperar. Tiene un pequeño museo, tiene un huerto con algunas plantas típicas del Perú. También hay tiendas de recuerdos, pero también los puedes encontrar en los mercados incas. La guía muy amable y sabía bastante, hasta la llama se le acerco a preguntar. El recorrido es cerca de una hora. Recomendado si visitas Lima. También cuenta con un restaurante, pero yo solo visite la huaca. ^^""",positivo,consenso_v2
