annotation_id,review_uid,destination,language_review,text_clean,aspecto,input_modelo,label
A001562,gm_2ddf14298befde5a,Museo de Sitio Huaca Pucllana,es,"Lugar descubierto en el año 1985, rodeado de las contribuciones de Lima, es un sitio arqueológico en medio de la modernidad.",atractivos,"aspecto: atractivos reseña: Lugar descubierto en el año 1985, rodeado de las contribuciones de Lima, es un sitio arqueológico en medio de la modernidad.",positivo
A000002,gm_543e6a844111d4d8,Reserva Nacional de Paracas,es,"Una experiencia maravillosa, recomiendo este lugar para ir con amigos o familia es TOTALMENTE Hermoso relajante con una paz inmensa",atractivos,"aspecto: atractivos reseña: Una experiencia maravillosa, recomiendo este lugar para ir con amigos o familia es TOTALMENTE Hermoso relajante con una paz inmensa",positivo
A001563,gm_078215b204d8e2d5,Ciudadela de Kuélap,es,"No pudimos ir, existe un divorcio entre quienes te venden las entradas al complejo y quienes te venden las entradas al teleférico, una desgracia.",costos,"aspecto: costos reseña: No pudimos ir, existe un divorcio entre quienes te venden las entradas al complejo y quienes te venden las entradas al teleférico, una desgracia.",negativo
A001564,gm_078215b204d8e2d5,Ciudadela de Kuélap,es,"No pudimos ir, existe un divorcio entre quienes te venden las entradas al complejo y quienes te venden las entradas al teleférico, una desgracia.",accesibilidad,"aspecto: accesibilidad reseña: No pudimos ir, existe un divorcio entre quienes te venden las entradas al complejo y quienes te venden las entradas al teleférico, una desgracia.",negativo
A001565,gm_be225c8c3dea6b8c,Reserva Nacional de Paracas,en,For those who've never seen a desert this is a good example of very fine silky sand. Must go into Paracas as well to see the lush green of an oasis.,atractivos,aspecto: atractivos reseña: For those who've never seen a desert this is a good example of very fine silky sand. Must go into Paracas as well to see the lush green of an oasis.,positivo
A000005,gm_86e99acc75e4e64f,Ciudadela de Kuélap,es,Lo hermoso y bello del contacto con la naturaleza. Hermosa experiencia vivida y poder conocer los atractivos turísticos de esta bella ciudad. Chachapoyas - Perú,atractivos,aspecto: atractivos reseña: Lo hermoso y bello del contacto con la naturaleza. Hermosa experiencia vivida y poder conocer los atractivos turísticos de esta bella ciudad. Chachapoyas - Perú,positivo
A000006,gm_9359397bc7ff2e1f,Centro Histórico de Lima,es,"Es la plaza de mayor historia en Lima, Es muy linda y ordenada, a su alrededor esta la Catedral de Lima y la Municipalidad de Lima. A sus alrededores hay tiendas comerciales, restaurantes, Bares. A unas 4 cuadras se encuentra la plaza San Martín la cual a sus alrededores hay bares de música rock",atractivos,"aspecto: atractivos reseña: Es la plaza de mayor historia en Lima, Es muy linda y ordenada, a su alrededor esta la Catedral de Lima y la Municipalidad de Lima. A sus alrededores hay tiendas comerciales, restaurantes, Bares. A unas 4 cuadras se encuentra la plaza San Martín la cual a sus alrededores hay bares de música rock",positivo
A001566,gm_9359397bc7ff2e1f,Centro Histórico de Lima,es,"Es la plaza de mayor historia en Lima, Es muy linda y ordenada, a su alrededor esta la Catedral de Lima y la Municipalidad de Lima. A sus alrededores hay tiendas comerciales, restaurantes, Bares. A unas 4 cuadras se encuentra la plaza San Martín la cual a sus alrededores hay bares de música rock",gastronomia,"aspecto: gastronomia reseña: Es la plaza de mayor historia en Lima, Es muy linda y ordenada, a su alrededor esta la Catedral de Lima y la Municipalidad de Lima. A sus alrededores hay tiendas comerciales, restaurantes, Bares. A unas 4 cuadras se encuentra la plaza San Martín la cual a sus alrededores hay bares de música rock",neutro
A000007,gm_31040f6c2eaacaaa,Museo Tumbas Reales del Señor de Sipán,en,"It was amazing how the tour guide explained the burial site. You need to experience burial, jewelry, pots, weapons and see how the Moche people lived.",atractivos,"aspecto: atractivos reseña: It was amazing how the tour guide explained the burial site. You need to experience burial, jewelry, pots, weapons and see how the Moche people lived.",positivo
A000008,gm_31040f6c2eaacaaa,Museo Tumbas Reales del Señor de Sipán,en,"It was amazing how the tour guide explained the burial site. You need to experience burial, jewelry, pots, weapons and see how the Moche people lived.",atencion_servicio,"aspecto: atencion_servicio reseña: It was amazing how the tour guide explained the burial site. You need to experience burial, jewelry, pots, weapons and see how the Moche people lived.",positivo
A000009,gm_72d681b65abb6b19,Centro Histórico de Lima,en,It is great to visit this historic place with lots of ancient monuments and seat of power in Perú. The place is well maintained. A must see place.,atractivos,aspecto: atractivos reseña: It is great to visit this historic place with lots of ancient monuments and seat of power in Perú. The place is well maintained. A must see place.,positivo
A001567,gm_72d681b65abb6b19,Centro Histórico de Lima,en,It is great to visit this historic place with lots of ancient monuments and seat of power in Perú. The place is well maintained. A must see place.,limpieza,aspecto: limpieza reseña: It is great to visit this historic place with lots of ancient monuments and seat of power in Perú. The place is well maintained. A must see place.,positivo
A000010,gm_3cfbae42d6204e38,Museo de Sitio Huaca Pucllana,es,"El tour es bonito en cuanto el conocer la historia, sin embargo, tienen unos animalitos enjaulados en un área pequeña y sin una sola gota de agua, hay patos en sequía, alpacas, llama, un cuyo creo, todos en malas condiciones, con los recipientes de agua secos por no haber tenido agua quien sabe en cuanto tiempo, me parte el corazón esa crueldad y el único propósito de tenerlos es para mostrarlos a los turistas. Porfavor, nada cuesta mantenerles agua el 100% del tiempo.",atractivos,"aspecto: atractivos reseña: El tour es bonito en cuanto el conocer la historia, sin embargo, tienen unos animalitos enjaulados en un área pequeña y sin una sola gota de agua, hay patos en sequía, alpacas, llama, un cuyo creo, todos en malas condiciones, con los recipientes de agua secos por no haber tenido agua quien sabe en cuanto tiempo, me parte el corazón esa crueldad y el único propósito de tenerlos es para mostrarlos a los turistas. Porfavor, nada cuesta mantenerles agua el 100% del tiempo.",negativo
A000011,gm_a312b439d9a62d10,Circuito Mágico del Agua,es,"Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!",atractivos,"aspecto: atractivos reseña: Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!",positivo
A000012,gm_a312b439d9a62d10,Circuito Mágico del Agua,es,"Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!",aforo_multitudes,"aspecto: aforo_multitudes reseña: Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!",positivo
A001568,gm_a312b439d9a62d10,Circuito Mágico del Agua,es,"Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!",limpieza,"aspecto: limpieza reseña: Una atracción acequible y muy bonita. Si es recomendable ir día de semana pues el fin de semana está abarrotado de gente y quizás pueda ser algo incomodo. Sin embargo, el lugar está muy bien mantenido y lo más bonito es ver el show en la noche. Recomendable!",positivo
A000013,gm_e96d15995f822d29,Museo de Sitio Huaca Pucllana,es,"Laaargas esperas para el ingreso, solo 1 caja. Una vez dentro, volver a esperar a que termine el tour, ya que no puedes entrar sin guia. Si te sobra el tiempo en lima, vale la pena.",atencion_servicio,"aspecto: atencion_servicio reseña: Laaargas esperas para el ingreso, solo 1 caja. Una vez dentro, volver a esperar a que termine el tour, ya que no puedes entrar sin guia. Si te sobra el tiempo en lima, vale la pena.",neutro
A001569,gm_e96d15995f822d29,Museo de Sitio Huaca Pucllana,es,"Laaargas esperas para el ingreso, solo 1 caja. Una vez dentro, volver a esperar a que termine el tour, ya que no puedes entrar sin guia. Si te sobra el tiempo en lima, vale la pena.",atractivos,"aspecto: atractivos reseña: Laaargas esperas para el ingreso, solo 1 caja. Una vez dentro, volver a esperar a que termine el tour, ya que no puedes entrar sin guia. Si te sobra el tiempo en lima, vale la pena.",neutro
A001570,gm_e96d15995f822d29,Museo de Sitio Huaca Pucllana,es,"Laaargas esperas para el ingreso, solo 1 caja. Una vez dentro, volver a esperar a que termine el tour, ya que no puedes entrar sin guia. Si te sobra el tiempo en lima, vale la pena.",accesibilidad,"aspecto: accesibilidad reseña: Laaargas esperas para el ingreso, solo 1 caja. Una vez dentro, volver a esperar a que termine el tour, ya que no puedes entrar sin guia. Si te sobra el tiempo en lima, vale la pena.",neutro
A001571,gm_e96d15995f822d29,Museo de Sitio Huaca Pucllana,es,"Laaargas esperas para el ingreso, solo 1 caja. Una vez dentro, volver a esperar a que termine el tour, ya que no puedes entrar sin guia. Si te sobra el tiempo en lima, vale la pena.",aforo_multitudes,"aspecto: aforo_multitudes reseña: Laaargas esperas para el ingreso, solo 1 caja. Una vez dentro, volver a esperar a que termine el tour, ya que no puedes entrar sin guia. Si te sobra el tiempo en lima, vale la pena.",neutro
A001572,gm_dedb539555ee098c,Centro Histórico de Lima,es,"Al momento de ingresar, el lugar está sitiado de policías para resguardar el lugar de posibles disturbios. Sin embargo el lugar está bien cuidado. Es un lugar donde la familia puede visitar.",seguridad,"aspecto: seguridad reseña: Al momento de ingresar, el lugar está sitiado de policías para resguardar el lugar de posibles disturbios. Sin embargo el lugar está bien cuidado. Es un lugar donde la familia puede visitar.",neutro
A001573,gm_dedb539555ee098c,Centro Histórico de Lima,es,"Al momento de ingresar, el lugar está sitiado de policías para resguardar el lugar de posibles disturbios. Sin embargo el lugar está bien cuidado. Es un lugar donde la familia puede visitar.",accesibilidad,"aspecto: accesibilidad reseña: Al momento de ingresar, el lugar está sitiado de policías para resguardar el lugar de posibles disturbios. Sin embargo el lugar está bien cuidado. Es un lugar donde la familia puede visitar.",neutro
A001574,gm_dedb539555ee098c,Centro Histórico de Lima,es,"Al momento de ingresar, el lugar está sitiado de policías para resguardar el lugar de posibles disturbios. Sin embargo el lugar está bien cuidado. Es un lugar donde la familia puede visitar.",limpieza,"aspecto: limpieza reseña: Al momento de ingresar, el lugar está sitiado de policías para resguardar el lugar de posibles disturbios. Sin embargo el lugar está bien cuidado. Es un lugar donde la familia puede visitar.",neutro
A000016,gm_ff75e71c505d8535,Valle del Colca,es,"La verdad no sé porque cobran entrada que varía de 10 a 60 soles sino no brindan un buen servicio hay tramos de carretera en mal estado, se maltrata al turista no le dejan opciones, no he encontrado en la ruta ninguna panadería y eso que el valle produce trigo no da opciones para almorzar solo platos a la carta y buffet.",costos,"aspecto: costos reseña: La verdad no sé porque cobran entrada que varía de 10 a 60 soles sino no brindan un buen servicio hay tramos de carretera en mal estado, se maltrata al turista no le dejan opciones, no he encontrado en la ruta ninguna panadería y eso que el valle produce trigo no da opciones para almorzar solo platos a la carta y buffet.",negativo
