annotation_id,review_uid,destination,language_review,aspecto,text_clean,input_modelo,label
gm_e6547330d3e1ea6e__aforo_multitudes,gm_e6547330d3e1ea6e,Centro Histórico de Lima,en,aforo_multitudes,Beautiful historic plaza worthy of a visit. The changing of the guard was underwhelming but the city cathedral and archbishop's palace are impressive. This is a great place for people watching.,aspecto: aforo_multitudes reseña: Beautiful historic plaza worthy of a visit. The changing of the guard was underwhelming but the city cathedral and archbishop's palace are impressive. This is a great place for people watching.,
gm_0af91380f50fc451__atractivos,gm_0af91380f50fc451,Centro Histórico de Lima,en,atractivos,Typical main square. Few colonial buildings and historical buildings. This is not the most beautiful square in Peru :),aspecto: atractivos reseña: Typical main square. Few colonial buildings and historical buildings. This is not the most beautiful square in Peru :),
gm_b15f9918b1bdd2bd__atractivos,gm_b15f9918b1bdd2bd,Centro Histórico de Lima,en,atractivos,"This is a beautiful square surrounded by government buildings. Lots of food and drink choices nearby, especially at lunchtime. We were fortunate to catch a band performance outside the government building. What a wonderful performance and great chance to see Peruvian culture.","aspecto: atractivos reseña: This is a beautiful square surrounded by government buildings. Lots of food and drink choices nearby, especially at lunchtime. We were fortunate to catch a band performance outside the government building. What a wonderful performance and great chance to see Peruvian culture.",
gm_383a8eca42d98f08__atencion_servicio,gm_383a8eca42d98f08,Centro Histórico de Lima,en,atencion_servicio,"The evening tour solo of Centro Histórico de Lima was astonishing! I went during Peru's Independence month, July, which Independence Day is the 28th of July. I highly recommend going on a guided tour as a solo tour is quite limiting information-wise, but still a great experience nonetheless. If you're in Lima, go check it out.","aspecto: atencion_servicio reseña: The evening tour solo of Centro Histórico de Lima was astonishing! I went during Peru's Independence month, July, which Independence Day is the 28th of July. I highly recommend going on a guided tour as a solo tour is quite limiting information-wise, but still a great experience nonetheless. If you're in Lima, go check it out.",
gm_53383f653739c8bd__seguridad,gm_53383f653739c8bd,Centro Histórico de Lima,en,seguridad,"This experience was a love hate situation, you must got and visit when you’re in Lima but they shut the square down when we got there because they were worried there was going to be a protest and made us leave, it’s near a not very great part of the city and our Uber driver told us 8+ times to be careful and watch out for thieves … we felt safe, there was a lot of security but it’s very annoying that the square was shut down right after we arrived","aspecto: seguridad reseña: This experience was a love hate situation, you must got and visit when you’re in Lima but they shut the square down when we got there because they were worried there was going to be a protest and made us leave, it’s near a not very great part of the city and our Uber driver told us 8+ times to be careful and watch out for thieves … we felt safe, there was a lot of security but it’s very annoying that the square was shut down right after we arrived",
gm_c31b3fcc96339036__seguridad,gm_c31b3fcc96339036,Centro Histórico de Lima,en,seguridad,Square was barricaded and no one was allowed in with an impressive police presence. Guess it was cool to see from afar before the surrounding few blocks were evicted of people at 5pm. Weird vibes.,aspecto: seguridad reseña: Square was barricaded and no one was allowed in with an impressive police presence. Guess it was cool to see from afar before the surrounding few blocks were evicted of people at 5pm. Weird vibes.,
gm_0d9245494d5527a7__atractivos,gm_0d9245494d5527a7,Centro Histórico de Lima,en,atractivos,"The Lima main square is located in the historic center of Lima . This place called plaza de armas is the birthplace of the city of Lima, a UNESCO world heritage site. A lot of beautiful architecture and historical buildings. You could really see the Spanish colonial influence in the area.","aspecto: atractivos reseña: The Lima main square is located in the historic center of Lima . This place called plaza de armas is the birthplace of the city of Lima, a UNESCO world heritage site. A lot of beautiful architecture and historical buildings. You could really see the Spanish colonial influence in the area.",
gm_b3c4ca7485070ace__accesibilidad,gm_b3c4ca7485070ace,Centro Histórico de Lima,en,accesibilidad,"One of the few interesting points in Lima with the cathedral on the one side, the presidential building on the other and some other presidential buildings. Walk around the square and along the roads surrounding the square. Not dangerous at all","aspecto: accesibilidad reseña: One of the few interesting points in Lima with the cathedral on the one side, the presidential building on the other and some other presidential buildings. Walk around the square and along the roads surrounding the square. Not dangerous at all",
gm_c3b8b181a95c538a__atractivos,gm_c3b8b181a95c538a,Centro Histórico de Lima,en,atractivos,"Beautiful but difficult to acces. The streets around there feel unsafe and dark. We had no access by car so had to park on Plaza San Martin and walk 10 min there via Jiron de La Union, which on a Friday night was full of heavily drunk people","aspecto: atractivos reseña: Beautiful but difficult to acces. The streets around there feel unsafe and dark. We had no access by car so had to park on Plaza San Martin and walk 10 min there via Jiron de La Union, which on a Friday night was full of heavily drunk people",
gm_cb732b47d030ce77__atractivos,gm_cb732b47d030ce77,Centro Histórico de Lima,en,atractivos,"The grand dame of Lima’s history - Plaza Mayor de Lima, where colonial guilt meets postcard charm. Founded in 1535 by Francisco Pizarro (whose statue was exiled, then sneakily reinstated), this place has seen it all.. declarations of independence, public executions, and more balcony drama than a telenovela. Surrounded by impressive facades like the Cathedral, Presidential Palace, and City Hall, it’s like standing in the middle of a well-behaved architectural argument. The bronze fountain in the center has outlived more presidents than Peru can count, and once even served pisco to the masses, viva la fuente! Come for the history, stay for the perfectly photogenic symmetry. But don’t expect solitude, the only thing louder than the tour groups are the pigeons claiming turf like feathered conquistadors. Still, whether you’re admiring colonial craftsmanship or plotting escape from the sun, Plaza Mayor delivers drama, dignity and a dash of Spanish déjà vu.","aspecto: atractivos reseña: The grand dame of Lima’s history - Plaza Mayor de Lima, where colonial guilt meets postcard charm. Founded in 1535 by Francisco Pizarro (whose statue was exiled, then sneakily reinstated), this place has seen it all.. declarations of independence, public executions, and more balcony drama than a telenovela. Surrounded by impressive facades like the Cathedral, Presidential Palace, and City Hall, it’s like standing in the middle of a well-behaved architectural argument. The bronze fountain in the center has outlived more presidents than Peru can count, and once even served pisco to the masses, viva la fuente! Come for the history, stay for the perfectly photogenic symmetry. But don’t expect solitude, the only thing louder than the tour groups are the pigeons claiming turf like feathered conquistadors. Still, whether you’re admiring colonial craftsmanship or plotting escape from the sun, Plaza Mayor delivers drama, dignity and a dash of Spanish déjà vu.",
gm_65425581c9c39910__atractivos,gm_65425581c9c39910,Centro Histórico de Lima,en,atractivos,"Really picturesque views! Peruvian ceremonial guards does parade at 1200 Nearby areas are sketchy at night but completely safe in the morning, food is really cheap and tasty in any nearby restaurants","aspecto: atractivos reseña: Really picturesque views! Peruvian ceremonial guards does parade at 1200 Nearby areas are sketchy at night but completely safe in the morning, food is really cheap and tasty in any nearby restaurants",
gm_7d2f5f4ff7f92829__gastronomia,gm_7d2f5f4ff7f92829,Centro Histórico de Lima,en,gastronomia,Beautiful plaza with great restaurants around it. Go there at late afternoon and stay till Night time to see the square light up. Visit all the other things around like San Francisco cathedral and others.,aspecto: gastronomia reseña: Beautiful plaza with great restaurants around it. Go there at late afternoon and stay till Night time to see the square light up. Visit all the other things around like San Francisco cathedral and others.,
gm_938275e987cf9d27__atencion_servicio,gm_938275e987cf9d27,Centro Histórico de Lima,en,atencion_servicio,Awesome but the police in riot gear with shields standing around was a little unnerving. Tour guide assured us that was normal.,aspecto: atencion_servicio reseña: Awesome but the police in riot gear with shields standing around was a little unnerving. Tour guide assured us that was normal.,
gm_f7430a8aedf909c1__aforo_multitudes,gm_f7430a8aedf909c1,Centro Histórico de Lima,en,aforo_multitudes,Beautiful historic center in Lima. It was very crowded on the day I visited. The area was very cleaned and easy to navigate.,aspecto: aforo_multitudes reseña: Beautiful historic center in Lima. It was very crowded on the day I visited. The area was very cleaned and easy to navigate.,
gm_180410ffafd850f0__gastronomia,gm_180410ffafd850f0,Centro Histórico de Lima,en,gastronomia,"very beautiful plaza. historic district. lots of good shops and restaurants around the area. felt safe during the daylight, but after the sun went down it got a little scary. I was approached more than once and asked if I wanted marijuana, cocaine or heroin? didn't feel safe in the crowd at night. The ride back to our hotel we were stuck in traffic for 2 hours and only had to go a few kilometers.","aspecto: gastronomia reseña: very beautiful plaza. historic district. lots of good shops and restaurants around the area. felt safe during the daylight, but after the sun went down it got a little scary. I was approached more than once and asked if I wanted marijuana, cocaine or heroin? didn't feel safe in the crowd at night. The ride back to our hotel we were stuck in traffic for 2 hours and only had to go a few kilometers.",
gm_1bd2d74ba2eb30ab__costos,gm_1bd2d74ba2eb30ab,Centro Histórico de Lima,en,costos,Very Nice square and fantastic buildings. However they had closed entrance to the square and lots of Police. 100+ with Machines Guns and pistols.,aspecto: costos reseña: Very Nice square and fantastic buildings. However they had closed entrance to the square and lots of Police. 100+ with Machines Guns and pistols.,
gm_1a54172073ba9032__atractivos,gm_1a54172073ba9032,Centro Histórico de Lima,en,atractivos,Beautiful Plaza de Armas with amazing buildings on every side. Really nice to stroll around or just sit in front of the cathedral to watch the sun go down over the city. When we were there they also had some musical animation which was really pleasant.,aspecto: atractivos reseña: Beautiful Plaza de Armas with amazing buildings on every side. Really nice to stroll around or just sit in front of the cathedral to watch the sun go down over the city. When we were there they also had some musical animation which was really pleasant.,
