review_uid,destination,language_review,text_clean,asp_atractivos,asp_costos,asp_seguridad,asp_accesibilidad,asp_limpieza,asp_atencion_servicio,asp_gastronomia,asp_alojamiento,asp_clima,asp_aforo_multitudes
gm_a28c7398395dc6fd,Centro Histórico de Lima,es,"Hermosa como todo el Perú súper limpia bastantes restaurantes, bastante seguridad grande bastantes fachos aveces se encuentra cerrada por manifestaciones previas así es que hay que estar atento a las noticias pero es muy bonito la catedral y la arquitectura muy bonita",,,,,,,,,,
gm_40d635b527a3c89a,Santuario Histórico de Machu Picchu,en,"Life time experience! Be patient the weather can be very unpredictable specially is you go on a rainy season, take the early entrance ticket so you can have more time to enjoy the amazing views and vibes from this magical place",,,,,,,,,,
gm_cc21006a2a146706,Monasterio de Santa Catalina,en,"Must see if you are blessed to visit Arequipa. Make sure to ask for Claudia, great tour guide, clear English, very knowledgeable and funny!",,,,,,,,,,
gm_2fc85c7882ab9b27,Monasterio de Santa Catalina,es,"No soy visitante frecuente de museos o similares, pero este lugar es bastante atrapante. Recomiendo solicitar el servicio de guiado. Hay descuento para peruanos.",,,,,,,,,,
gm_eb47d0664c374a19,Santuario Histórico de Machu Picchu,es,"Precioso, lo único malo es que tarda mucho en salir el bus. Porfavor si lo visitan, respeten y cuiden el lugar. Igual para todos los sitios arqueológicos, hay que demostrar buena cultura.",,,,,,,,,,
gm_1125d90c348a1fec,Monasterio de Santa Catalina,en,Beautiful and colorful place. Huge! Lots of places to walk and admire the houses once were inhabited by the nuns. Go until the end. Check the bakery!! Also you can go to the rooftop and check the volcano view.,,,,,,,,,,
gm_bf814226f8ee61a4,Valle del Colca,es,"Ahora puedes hacer Colca en un full day, te recogen 3am y llegas 7am tomas desayuno ahora en pandemia, desayuno vivencial. El paisaje el lindo, hace mucho frío en el viaje, ver a los cóndores es la idea principal, tiene el mirador y puedes ver el vuelo de los cóndores. Los baños termales parada obligatoria.",,,,,,,,,,
gm_1075ddb7e4ad3204,Valle del Colca,es,"Lo malo de la visita es la comida tienen un restaurant que ofrece bufet, y su comida no vale la pena advertidos",,,,,,,,,,
gm_086292c42fe23434,Monasterio de Santa Catalina,es,"Hermoso Convento, Con mucha ventilacion, cuidados en su conservación, guías muy amables en todos los idiomas. Una maravillosa visita y excelentes fotos de recuerdo.",,,,,,,,,,
gm_19370cc601f723e4,Centro Histórico de Lima,es,"Es increíble poder conocer el lugar donde el Gral José de San Martín proclamará la independencia del Perú, conocer la pileta y la fama recorrer la plaza y ver los alrededores es muy hermoso antiguo y histórico, lo recomiendo.",,,,,,,,,,
gm_df6efce698f553e4,Santuario Histórico de Machu Picchu,en,"Great spot, we went in Peru Rail. Great food , site, people. Be ready for physical challenge who are not so active. Once in life time experience.",,,,,,,,,,
gm_7c4bdd4830474a3e,Museo Tumbas Reales del Señor de Sipán,es,"Museo a 30 minutos de Chiclayo a 1.50 en bus, se encuentra a 2 cuadras de la pista principal de Lambayeque amplio bien implementado con un recorrido descendente el cual inicia con un video. Hay piezas originales y bellas halladas en la misma tumba de Sipan. El museo está cerrado los días lunes y no se puede ingresar con celulares ni ningún depositivo. Alrededor del museo hay tiendas de souveniers independientes donde tienes que regatear",,,,,,,,,,
gm_a2855220e18090a8,Ciudadela de Kuélap,es,"Impresionante la arquitectura de kuelap, estoy feliz de haberla podido visitar, cuiden el patrimonio nacional",,,,,,,,,,
gm_7b97c486ea5935b5,Museo de Sitio Huaca Pucllana,es,Bueno. Aqui se muestra el templo que fue construido por la cultura Lima como adoracion al Mar de la Costa y los alimentos infinitos que proveía … eso es aproximadamente del año 400 despues de Cristo hasta el 650 dC… la cultura perece con el tiempo y es encontrada por la cultura Huari/Wari en 1100 dC y siguen conservando el lugar como templo pero ellos entierran a sus muertos con textiles con colores. mascaras y mantos con detalles andinos… pasan los años y la cultura perece y el templo es encontrado por la cultura Yschma en los años 1450dC … todos respetaron el lugar y le dieron distintos tipos de adoraciones… Los incas nunca se asentaron en ese templo y es raro porque tuvieron un lugar ocupado a unos 4kilometros de esa huaca… y Bueno asi termina mi reseña.,,,,,,,,,,
gm_27df25e50228c638,Circuito Mágico del Agua,es,"Solo de tner una mojadita en esta expriencia de estar entre las luces de tner de ver todas los colores y olores solo te puedo decir que todos las fotografias que puedes tnder es lo meojr que puedes pasar , haber ghoy en dia nadie ah tenido esa opinion de tener una citaahy porque yo cuando andaba en la noches aveces se me ocurria bajar con alguien espceial y lo cual que me encantaba quedarme hastya que cerraban ojala se pueda mejora muchas cosas como las exposuiciones o poder tener otro tipos de ventas los cuales de cuales me tenga que indentificar es lo unico que yo quiero la verdad de que pueda crecer demasiado",,,,,,,,,,
gm_c91a0ef30cffcd92,Líneas y Geoglifos de Nasca y Palpa,es,Bonito paisaje solo hecho en el Perú de ahí inventan la película Las Señales,,,,,,,,,,
gm_cf69cb01c78973ce,Santuario Histórico de Machu Picchu,en,What an amazing place. To think that this was built so long ago and has lasted longer than my 10 year old house. Unbelievable on how this place was constructed with no computers or concrete cutting wheels,,,,,,,,,,
gm_4d8de3f3789d8d38,Líneas y Geoglifos de Nasca y Palpa,en,"Amazing place to visit and a definite must. We booked a little plane to overfly the lines. Amazing view from above. As the planes are little, be prepared for the ADVENTURE of air holes! :D",,,,,,,,,,
gm_79b350b61c7d9dd5,Centro Histórico de Lima,en,"The centre of Lima is full of stately buildings from the colonial period, elegant houses with window boxes and balconies, ornate churches, and modern museums housed within beautiful architecture with exquisite azulejos or ceramic tiles. There are so many places to explore so if you're short on time, you need to pick and choose.",,,,,,,,,,
gm_72eba0065644530f,Circuito Mágico del Agua,en,"This place was amazing... only wish we could have come back in the evening, when there are lights. Given the opportunity, I'd come again.",,,,,,,,,,
