review_uid,annotation_id,destination,language_review,aspecto,text_clean,input_modelo,label,estado_acuerdo_aspecto,estado_acuerdo_label
gm_f8a6c506087755b5,gm_f8a6c506087755b5__atractivos,Líneas y Geoglifos de Nasca y Palpa,es,atractivos,Hermoso lugar que puedes visitar y disfrutar desde una avioneta o si buscas algo más cómodo desde el mirador.,aspecto: atractivos reseña: Hermoso lugar que puedes visitar y disfrutar desde una avioneta o si buscas algo más cómodo desde el mirador.,positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_f8a6c506087755b5,gm_f8a6c506087755b5__accesibilidad,Líneas y Geoglifos de Nasca y Palpa,es,accesibilidad,Hermoso lugar que puedes visitar y disfrutar desde una avioneta o si buscas algo más cómodo desde el mirador.,aspecto: accesibilidad reseña: Hermoso lugar que puedes visitar y disfrutar desde una avioneta o si buscas algo más cómodo desde el mirador.,positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_8b4151f25f673736,gm_8b4151f25f673736__atractivos,Museo Tumbas Reales del Señor de Sipán,en,atractivos,Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,aspecto: atractivos reseña: Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_8b4151f25f673736,gm_8b4151f25f673736__costos,Museo Tumbas Reales del Señor de Sipán,en,costos,Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,aspecto: costos reseña: Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,neutro,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_8b4151f25f673736,gm_8b4151f25f673736__atencion_servicio,Museo Tumbas Reales del Señor de Sipán,en,atencion_servicio,Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,aspecto: atencion_servicio reseña: Excellent museum. Make sure to put personal belongings in locker as they do not allow large bags. Pay for a guide or you will not get the full experience. A must see in peru. I was lucky enough to be there for thier 35 year anniversary today.,negativo,acuerdo_total_3_de_3,mayoria_2_de_3
gm_9dd5f3d689c1534d,gm_9dd5f3d689c1534d__atractivos,Santuario Histórico de Machu Picchu,es,atractivos,"Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️","aspecto: atractivos reseña: Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️",positivo,acuerdo_total_3_de_3,mayoria_2_de_3
gm_9dd5f3d689c1534d,gm_9dd5f3d689c1534d__costos,Santuario Histórico de Machu Picchu,es,costos,"Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️","aspecto: costos reseña: Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️",positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_9dd5f3d689c1534d,gm_9dd5f3d689c1534d__accesibilidad,Santuario Histórico de Machu Picchu,es,accesibilidad,"Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️","aspecto: accesibilidad reseña: Asombroso, mágico, magestuoso, un lugar sin descripción alguna, debes estar ahí para descubrirlo!! 🏔️🇵🇪 Me dejó maravillada y con múltiples preguntas sobre esta civilización inca! El viaje es cansado, la subida te agobia y asfixia, pero cada paso vale la pena para cuando al fin llegas a la cima te ropas con este gigante del mundo! 🌎♥️",negativo,acuerdo_total_3_de_3,mayoria_2_de_3
gm_c4d4bee3c939ab03,gm_c4d4bee3c939ab03__atractivos,Museo de Sitio Huaca Pucllana,es,atractivos,Muy bello lugar arqueológico y los más impresionante que se ubica en el centro de lima. Recomiendo no perderse esta visita y conocer un poco más de las culturas antiguas que habitaron esta zona. La visita es guiada y te van explicando con detalles lo que ahí hubo.,aspecto: atractivos reseña: Muy bello lugar arqueológico y los más impresionante que se ubica en el centro de lima. Recomiendo no perderse esta visita y conocer un poco más de las culturas antiguas que habitaron esta zona. La visita es guiada y te van explicando con detalles lo que ahí hubo.,positivo,acuerdo_total_3_de_3,acuerdo_total_3_de_3
gm_c4d4bee3c939ab03,gm_c4d4bee3c939ab03__atencion_servicio,Museo de Sitio Huaca Pucllana,es,atencion_servicio,Muy bello lugar arqueológico y los más impresionante que se ubica en el centro de lima. Recomiendo no perderse esta visita y conocer un poco más de las culturas antiguas que habitaron esta zona. La visita es guiada y te van explicando con detalles lo que ahí hubo.,aspecto: atencion_servicio reseña: Muy bello lugar arqueológico y los más impresionante que se ubica en el centro de lima. Recomiendo no perderse esta visita y conocer un poco más de las culturas antiguas que habitaron esta zona. La visita es guiada y te van explicando con detalles lo que ahí hubo.,neutro,acuerdo_total_3_de_3,acuerdo_total_3_de_3
