destination,aspecto,negativo,neutro,positivo,total_tuplas,pct_negativo,pct_neutro,pct_positivo,score_promedio,confianza_promedio,reseñas_unicas,score_normalizado_0_1
Centro Histórico de Lima,accesibilidad,7.0,139.0,0.0,146.0,0.04794520547945205,0.952054794520548,0.0,-0.04794520547945205,0.9632834114440499,146,0.476027397260274
Centro Histórico de Lima,aforo_multitudes,48.0,165.0,1.0,214.0,0.22429906542056074,0.7710280373831776,0.004672897196261682,-0.21962616822429906,0.9305404873094826,214,0.3901869158878505
Centro Histórico de Lima,alojamiento,0.0,15.0,3.0,18.0,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.8550261689556969,18,0.5833333333333334
Centro Histórico de Lima,atencion_servicio,3.0,41.0,62.0,106.0,0.02830188679245283,0.3867924528301887,0.5849056603773585,0.5566037735849056,0.8821923350388149,106,0.7783018867924528
Centro Histórico de Lima,atractivos,11.0,0.0,973.0,984.0,0.011178861788617886,0.0,0.9888211382113821,0.9776422764227642,0.9934149120396715,984,0.9888211382113821
Centro Histórico de Lima,clima,11.0,22.0,0.0,33.0,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,0.9128663034150095,33,0.33333333333333337
Centro Histórico de Lima,costos,15.0,50.0,6.0,71.0,0.2112676056338028,0.704225352112676,0.08450704225352113,-0.1267605633802817,0.9375248601738836,71,0.43661971830985913
Centro Histórico de Lima,gastronomia,0.0,205.0,17.0,222.0,0.0,0.9234234234234234,0.07657657657657657,0.07657657657657657,0.9257747189955668,222,0.5382882882882882
Centro Histórico de Lima,limpieza,20.0,4.0,197.0,221.0,0.09049773755656108,0.01809954751131222,0.8914027149321267,0.8009049773755657,0.9660109865449672,221,0.9004524886877828
Centro Histórico de Lima,seguridad,65.0,30.0,210.0,305.0,0.21311475409836064,0.09836065573770492,0.6885245901639344,0.47540983606557374,0.8927073614519151,305,0.7377049180327868
Circuito Mágico del Agua,accesibilidad,9.0,416.0,0.0,425.0,0.021176470588235293,0.9788235294117648,0.0,-0.021176470588235293,0.9693956153533038,425,0.4894117647058824
Circuito Mágico del Agua,aforo_multitudes,83.0,182.0,0.0,265.0,0.3132075471698113,0.6867924528301886,0.0,-0.3132075471698113,0.9362005112306127,265,0.3433962264150944
Circuito Mágico del Agua,alojamiento,0.0,10.0,11.0,21.0,0.0,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.9208853301547822,21,0.7619047619047619
Circuito Mágico del Agua,atencion_servicio,1.0,79.0,50.0,130.0,0.007692307692307693,0.6076923076923076,0.38461538461538464,0.3769230769230769,0.8539912590613732,130,0.6884615384615385
Circuito Mágico del Agua,atractivos,6.0,0.0,967.0,973.0,0.006166495375128468,0.0,0.9938335046248715,0.987667009249743,0.9938848794180467,973,0.9938335046248715
Circuito Mágico del Agua,clima,23.0,46.0,0.0,69.0,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,0.8855079900527346,69,0.33333333333333337
Circuito Mágico del Agua,costos,94.0,393.0,71.0,558.0,0.16845878136200718,0.7043010752688172,0.12724014336917563,-0.04121863799283154,0.9020989449648019,558,0.47939068100358423
Circuito Mágico del Agua,gastronomia,0.0,181.0,7.0,188.0,0.0,0.9627659574468085,0.03723404255319149,0.03723404255319149,0.9458412645345039,188,0.5186170212765957
Circuito Mágico del Agua,limpieza,38.0,9.0,178.0,225.0,0.1688888888888889,0.04,0.7911111111111111,0.6222222222222222,0.9502815957864126,225,0.8111111111111111
Circuito Mágico del Agua,seguridad,22.0,8.0,72.0,102.0,0.21568627450980393,0.0784313725490196,0.7058823529411765,0.49019607843137253,0.9041614929835001,102,0.7450980392156863
