destination,accesibilidad,aforo_multitudes,alojamiento,atencion_servicio,atractivos,clima,costos,gastronomia,limpieza,seguridad
Centro Histórico de Lima,0.5616438356164384,0.2149532710280374,0.6944444444444444,0.6556603773584906,0.9872967479674797,0.19696969696969696,0.6408450704225352,0.6418918918918919,0.9343891402714932,0.7934426229508197
Circuito Mágico del Agua,0.5576470588235294,0.19622641509433963,0.7857142857142857,0.6115384615384616,0.9912641315519013,0.37681159420289856,0.6810035842293907,0.5664893617021276,0.8733333333333333,0.7892156862745099
Ciudadela de Kuélap,0.5984455958549223,0.18181818181818182,0.6,0.583969465648855,0.963302752293578,0.2450980392156863,0.6,0.5217391304347826,0.95,0.8333333333333333
Líneas y Geoglifos de Nasca y Palpa,0.5119047619047619,0.234375,0.5,0.5517241379310345,0.9265734265734266,0.16666666666666669,0.5714285714285714,0.6666666666666666,0.375,0.7727272727272727
Monasterio de Santa Catalina,0.5718085106382979,0.20833333333333331,0.6428571428571428,0.6158129175946547,0.9820916905444126,0.4722222222222222,0.6469740634005764,0.6,0.9193548387096775,1.0
Museo Tumbas Reales del Señor de Sipán,0.5190476190476191,0.15833333333333333,0.5,0.5792880258899676,0.953125,0.37037037037037035,0.5877862595419847,0.5909090909090909,0.9888888888888889,0.8148148148148149
Museo de Sitio Huaca Pucllana,0.5603015075376885,0.3118279569892473,0.5588235294117647,0.6235029940119761,0.9619921363040629,0.25,0.6835016835016835,0.6451612903225806,0.9107142857142857,0.9444444444444444
Reserva Nacional de Paracas,0.5483870967741935,0.1355140186915888,0.65,0.5384615384615384,0.9768856447688564,0.32432432432432434,0.6402439024390244,0.5671641791044776,0.9263803680981595,0.896551724137931
Santuario Histórico de Machu Picchu,0.5722673893405601,0.21301775147928992,0.5492424242424242,0.615521327014218,0.9688532326569137,0.23298429319371727,0.6758160237388724,0.56,0.7801418439716312,0.5421686746987951
Valle del Colca,0.5588235294117647,0.2232142857142857,0.5810810810810811,0.6864406779661016,0.9781746031746033,0.21052631578947367,0.5952380952380952,0.5789473684210527,0.8970588235294117,0.6071428571428571
