destination,aspecto,total_tuplas,reseñas_unicas,confianza_promedio
Centro Histórico de Lima,accesibilidad,146.0,146,0.9341316831438509
Centro Histórico de Lima,aforo_multitudes,214.0,214,0.8673572054254675
Centro Histórico de Lima,alojamiento,18.0,18,0.8949448532528348
Centro Histórico de Lima,atencion_servicio,106.0,106,0.8970129537694859
Centro Histórico de Lima,atractivos,984.0,984,0.9928453968065541
Centro Histórico de Lima,clima,33.0,33,0.9101465019312772
Centro Histórico de Lima,costos,71.0,71,0.9053600329748341
Centro Histórico de Lima,gastronomia,222.0,222,0.9020058783861968
Centro Histórico de Lima,limpieza,221.0,221,0.9723725410608145
Centro Histórico de Lima,seguridad,305.0,305,0.9392386226380458
Circuito Mágico del Agua,accesibilidad,425.0,425,0.9504159231045667
Circuito Mágico del Agua,aforo_multitudes,265.0,265,0.8745777538362539
Circuito Mágico del Agua,alojamiento,21.0,21,0.8795904488790602
Circuito Mágico del Agua,atencion_servicio,130.0,130,0.9308711267434634
Circuito Mágico del Agua,atractivos,973.0,973,0.9929494590087883
Circuito Mágico del Agua,clima,69.0,69,0.8821690043677455
Circuito Mágico del Agua,costos,558.0,558,0.9227876346491571
Circuito Mágico del Agua,gastronomia,188.0,188,0.9411483438725167
Circuito Mágico del Agua,limpieza,225.0,225,0.930220425526301
Circuito Mágico del Agua,seguridad,102.0,102,0.9233057624569126
Ciudadela de Kuélap,accesibilidad,193.0,193,0.9267290549574738
Ciudadela de Kuélap,aforo_multitudes,55.0,55,0.8763825844634663
Ciudadela de Kuélap,alojamiento,10.0,10,0.9214889347553253
Ciudadela de Kuélap,atencion_servicio,131.0,131,0.9254493613279503
Ciudadela de Kuélap,atractivos,436.0,436,0.9900531260928976
Ciudadela de Kuélap,clima,51.0,51,0.9246353881031859
Ciudadela de Kuélap,costos,85.0,85,0.9210630059242249
Ciudadela de Kuélap,gastronomia,23.0,23,0.9471867214078489
Ciudadela de Kuélap,limpieza,20.0,20,0.9545752972364425
Ciudadela de Kuélap,seguridad,21.0,21,0.9304627151716323
Líneas y Geoglifos de Nasca y Palpa,accesibilidad,42.0,42,0.9484314436004275
Líneas y Geoglifos de Nasca y Palpa,aforo_multitudes,32.0,32,0.8814790956676006
Líneas y Geoglifos de Nasca y Palpa,alojamiento,5.0,5,0.9419211030006409
Líneas y Geoglifos de Nasca y Palpa,atencion_servicio,29.0,29,0.9559358666683065
Líneas y Geoglifos de Nasca y Palpa,atractivos,143.0,143,0.9876351156434813
Líneas y Geoglifos de Nasca y Palpa,clima,18.0,18,0.9086397886276245
Líneas y Geoglifos de Nasca y Palpa,costos,35.0,35,0.9168172989572797
Líneas y Geoglifos de Nasca y Palpa,gastronomia,3.0,3,0.9166968464851379
Líneas y Geoglifos de Nasca y Palpa,limpieza,4.0,4,0.9466651976108551
Líneas y Geoglifos de Nasca y Palpa,seguridad,11.0,11,0.7768976959315214
Monasterio de Santa Catalina,accesibilidad,188.0,188,0.93263672530017
Monasterio de Santa Catalina,aforo_multitudes,96.0,96,0.8566502934942642
