accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,aspecto,soporte
0.8227,0.8128,0.524,0.5489,0.8267,0.8227,0.8005,atractivos,141
0.5385,0.6667,0.5278,0.5333,0.6154,0.5385,0.5308,seguridad,13
0.6111,0.5833,0.4986,0.5191,0.5995,0.6111,0.5873,accesibilidad,54
0.6923,0.5333,0.5,0.4722,0.7385,0.6923,0.6538,gastronomia,13
0.619,0.4209,0.5238,0.4667,0.4988,0.619,0.5524,clima,21
0.5167,0.481,0.444,0.4519,0.5057,0.5167,0.5044,costos,60
0.4706,0.5833,0.4643,0.3944,0.6765,0.4706,0.4245,limpieza,17
0.5926,0.373,0.3958,0.3771,0.515,0.5926,0.5434,aforo_multitudes,27
0.6154,0.4048,0.3816,0.3686,0.5374,0.6154,0.5521,atencion_servicio,65
0.6,0.5185,0.4,0.3492,0.7778,0.6,0.5238,alojamiento,10
