modelo,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
tfidf_linear_svm_test,0.6342,0.6064,0.6004,0.6007,0.636,0.6342,0.6326
tfidf_logistic_regression_test,0.6318,0.5962,0.5932,0.5917,0.6354,0.6318,0.6305
tfidf_linear_svm_validation,0.6456,0.5926,0.5895,0.5907,0.6425,0.6456,0.6437
tfidf_logistic_regression_validation,0.6321,0.5855,0.5903,0.5873,0.6367,0.6321,0.634
tfidf_random_forest_test,0.6318,0.6033,0.5721,0.575,0.6216,0.6318,0.6182
tfidf_random_forest_validation,0.614,0.5441,0.5243,0.5232,0.5978,0.614,0.5964
tfidf_complement_nb_test,0.5273,0.6764,0.4276,0.3831,0.6164,0.5273,0.4635
tfidf_complement_nb_validation,0.5192,0.6839,0.4073,0.3658,0.6011,0.5192,0.4577
tfidf_naive_bayes_test,0.5321,0.3496,0.4199,0.3639,0.4201,0.5321,0.4494
tfidf_naive_bayes_validation,0.5034,0.3497,0.3901,0.3365,0.439,0.5034,0.4289
majority_class_test,0.4513,0.1504,0.3333,0.2073,0.2037,0.4513,0.2807
majority_class_validation,0.4402,0.1467,0.3333,0.2038,0.1938,0.4402,0.2691
